5.693093994279622194e+01,7.398157355442222638e+01
1.373952543749289390e+01,5.245678954345075340e+01
8.627206480439375014e+01,9.817993030044098646e+01
9.731616378143354495e+01,4.776262689091967673e+01
8.501707492122559984e+01,1.935024015707642775e+01
8.336149399085824996e+01,1.930822500343991521e+01
2.703040356104833108e+01,1.306016989973125497e+01
8.764685168553542738e+00,3.037353044489171694e+01
3.123108130950054218e+01,7.783322315152260273e+01
5.307663012552021442e+00,1.132885236405327589e+01
6.448085886815213996e+01,5.458057794963691833e+01
7.981714532597350420e+00,6.001058664724656921e+01
7.075100980380469196e+01,9.405656493615181546e+01
2.796403930698391349e+01,3.252548746611546449e+01
1.984471699387825439e+01,5.865734631966324741e+01
2.694690698659000105e+01,6.798446401592562083e+00
6.444389299887409095e+01,5.576695571174477806e+01
2.708888955189715375e+01,6.716840699815895732e+01
7.799733707960591289e+01,3.669895530954732266e+01
4.053196472437375775e+01,5.619537514635574382e+01
6.881188394850741474e+01,1.653392719025370550e+00
2.022250591455215840e+01,3.095958969016692208e+01
6.010410142757915963e+01,6.533112537129335351e+01
2.828321898496071185e+01,3.392698386785845344e+01
4.931446861675943438e+01,7.805440586172575479e+01
3.660384737914926490e+01,5.899445070109932132e+00
1.720239499400033623e-01,5.561701006611946241e+01
2.769642137473838872e+01,5.908814308922190150e+01
2.483539447430136349e+01,7.354158824876000722e+01
9.465885758172922237e+01,6.616268552308177675e+01
